site;lat;lon;year;month;tmean;prec
b1;50,07;10,44;1881;1;-6,7;29
b1;50,07;10,44;1881;2;0,1;48
b1;50,07;10,44;1881;3;2,9;90
b1;50,07;10,44;1881;4;5,2;34
b1;50,07;10,44;1881;5;11,7;48
b1;50,07;10,44;1881;6;15,2;55
b1;50,07;10,44;1881;7;18,4;52
b1;50,07;10,44;1881;8;15,8;108
b1;50,07;10,44;1881;9;11,4;54
b1;50,07;10,44;1881;10;4,2;68
b1;50,07;10,44;1881;11;4,9;24
b1;50,07;10,44;1881;12;0,2;45
b1;50,07;10,44;1882;1;-0,8;22
b1;50,07;10,44;1882;2;0,5;32
b1;50,07;10,44;1882;3;5,3;38
b1;50,07;10,44;1882;4;7,2;48
b1;50,07;10,44;1882;5;11,7;65
b1;50,07;10,44;1882;6;14;90
b1;50,07;10,44;1882;7;16,1;166
b1;50,07;10,44;1882;8;14,3;79
b1;50,07;10,44;1882;9;12,3;108
b1;50,07;10,44;1882;10;8,4;85
b1;50,07;10,44;1882;11;3,7;163
b1;50,07;10,44;1882;12;0,3;105
b1;50,07;10,44;1883;1;-0,7;47
b1;50,07;10,44;1883;2;2;19
b1;50,07;10,44;1883;3;-2,1;32
b1;50,07;10,44;1883;4;5,6;15
b1;50,07;10,44;1883;5;12,4;58
b1;50,07;10,44;1883;6;16,4;43
b1;50,07;10,44;1883;7;16,1;102
b1;50,07;10,44;1883;8;15,5;36
b1;50,07;10,44;1883;9;12,9;71
b1;50,07;10,44;1883;10;7,9;62
b1;50,07;10,44;1883;11;3,8;75
b1;50,07;10,44;1883;12;0,2;75
b1;50,07;10,44;1884;1;2,4;56
b1;50,07;10,44;1884;2;2;34
b1;50,07;10,44;1884;3;4,2;22
b1;50,07;10,44;1884;4;5,8;21
b1;50,07;10,44;1884;5;12,5;54
b1;50,07;10,44;1884;6;12,9;64
b1;50,07;10,44;1884;7;18,1;73
b1;50,07;10,44;1884;8;16,7;60
b1;50,07;10,44;1884;9;13,3;22
b1;50,07;10,44;1884;10;7,2;75
b1;50,07;10,44;1884;11;0,9;36
b1;50,07;10,44;1884;12;1,1;99
b1;50,07;10,44;1885;1;-3,6;17
b1;50,07;10,44;1885;2;2,3;47
b1;50,07;10,44;1885;3;2,1;55
b1;50,07;10,44;1885;4;9,3;17
b1;50,07;10,44;1885;5;9,8;62
b1;50,07;10,44;1885;6;16,9;46
b1;50,07;10,44;1885;7;16,8;71
b1;50,07;10,44;1885;8;14,2;47
b1;50,07;10,44;1885;9;12,3;71
b1;50,07;10,44;1885;10;7,2;85
b1;50,07;10,44;1885;11;2,4;61
b1;50,07;10,44;1885;12;-1,3;55
b1;50,07;10,44;1886;1;-2,1;44
b1;50,07;10,44;1886;2;-3,1;20
b1;50,07;10,44;1886;3;-0,2;46
b1;50,07;10,44;1886;4;8,7;35
b1;50,07;10,44;1886;5;12,5;62
b1;50,07;10,44;1886;6;14,1;112
b1;50,07;10,44;1886;7;16,5;65
b1;50,07;10,44;1886;8;16,7;42
b1;50,07;10,44;1886;9;14,7;40
b1;50,07;10,44;1886;10;9;60
b1;50,07;10,44;1886;11;4,4;63
b1;50,07;10,44;1886;12;0,5;125
b1;50,07;10,44;1887;1;-5,8;6
b1;50,07;10,44;1887;2;-1,4;15
b1;50,07;10,44;1887;3;0,7;58
b1;50,07;10,44;1887;4;6,8;24
b1;50,07;10,44;1887;5;10;105
b1;50,07;10,44;1887;6;15,5;21
b1;50,07;10,44;1887;7;18,9;58
b1;50,07;10,44;1887;8;15,4;50
b1;50,07;10,44;1887;9;11,4;41
b1;50,07;10,44;1887;10;4,7;34
b1;50,07;10,44;1887;11;2;49
b1;50,07;10,44;1887;12;-2,2;78
b1;50,07;10,44;1888;1;-3,1;31
b1;50,07;10,44;1888;2;-2,8;41
b1;50,07;10,44;1888;3;0,8;103
b1;50,07;10,44;1888;4;5,6;49
b1;50,07;10,44;1888;5;12,2;24
b1;50,07;10,44;1888;6;16;107
b1;50,07;10,44;1888;7;14,2;136
b1;50,07;10,44;1888;8;14,6;62
b1;50,07;10,44;1888;9;11,9;34
b1;50,07;10,44;1888;10;5,6;67
b1;50,07;10,44;1888;11;2,6;35
b1;50,07;10,44;1888;12;-0,6;14
b1;50,07;10,44;1889;1;-2,8;11
b1;50,07;10,44;1889;2;-3,7;75
b1;50,07;10,44;1889;3;-0,3;42
b1;50,07;10,44;1889;4;6,6;44
b1;50,07;10,44;1889;5;15,6;80
b1;50,07;10,44;1889;6;18,3;82
b1;50,07;10,44;1889;7;16,1;84
b1;50,07;10,44;1889;8;15;55
b1;50,07;10,44;1889;9;10,7;60
b1;50,07;10,44;1889;10;7,4;66
b1;50,07;10,44;1889;11;1,8;30
b1;50,07;10,44;1889;12;-2,3;42
b1;50,07;10,44;1890;1;1,4;96
b1;50,07;10,44;1890;2;-3,3;4
b1;50,07;10,44;1890;3;3,4;26
b1;50,07;10,44;1890;4;6,4;39
